day,is_nonworking
2019-12-10,N
2019-12-11,N
2019-12-12,N
2019-12-13,N
2019-12-14,Y
2019-12-15,Y
2019-12-16,N
2019-12-17,N
2019-12-18,N
2019-12-19,N
2019-12-20,N
2019-12-21,Y
2019-12-22,Y
2019-12-23,N
2019-12-24,N
2019-12-25,Y
2019-12-26,Y
2019-12-27,N
2019-12-28,Y
2019-12-29,Y
2019-12-30,N
2019-12-31,N
2020-01-01,Y
2020-01-02,N
2020-01-03,N
2020-01-04,Y
2020-01-05,Y
2020-01-06,N
2020-01-07,N
2020-01-08,N
2020-01-09,N
2020-01-10,N
2020-01-11,Y
2020-01-12,Y
2020-01-13,N
2020-01-14,N
2020-01-15,N
2020-01-16,N
2020-01-17,N
2020-01-18,Y
2020-01-19,Y
2020-01-20,N
2020-01-21,N
2020-01-22,N
2020-01-23,N
2020-01-24,N
2020-01-25,Y
2020-01-26,Y
2020-01-27,N
2020-01-28,N
2020-01-29,N
2020-01-30,N
2020-01-31,N
2020-02-01,Y
2020-02-02,Y
2020-02-03,N
2020-02-04,N
2020-02-05,N
2020-02-06,N
2020-02-07,N
2020-02-08,Y
2020-02-09,Y
2020-02-10,N
2020-02-11,N
2020-02-12,N
2020-02-13,N
2020-02-14,N
2020-02-15,Y
2020-02-16,Y
2020-02-17,N
2020-02-18,N
2020-02-19,N
2020-02-20,N
2020-02-21,N
2020-02-22,Y
2020-02-23,Y
2020-02-24,N
2020-02-25,N
2020-02-26,N
2020-02-27,N
2020-02-28,N
2020-02-29,Y
2020-03-01,Y
2020-03-02,N
2020-03-03,N
2020-03-04,N
2020-03-05,N
2020-03-06,N
2020-03-07,Y
2020-03-08,Y
2020-03-09,N
2020-03-10,N
2020-03-11,N
2020-03-12,N
2020-03-13,N
2020-03-14,Y
2020-03-15,Y
2020-03-16,N
2020-03-17,N
2020-03-18,N
2020-03-19,N
2020-03-20,N
2020-03-21,Y
2020-03-22,Y
2020-03-23,N
2020-03-24,N
2020-03-25,N
2020-03-26,N
2020-03-27,N
2020-03-28,Y
2020-03-29,Y
2020-03-30,N
2020-03-31,N
2020-04-01,N
2020-04-02,N
2020-04-03,N
2020-04-04,Y
2020-04-05,Y
2020-04-06,N
2020-04-07,N
2020-04-08,N
2020-04-09,N
2020-04-10,Y
2020-04-11,Y
2020-04-12,Y
2020-04-13,Y
2020-04-14,N
2020-04-15,N
2020-04-16,N
2020-04-17,N
2020-04-18,Y
2020-04-19,Y
2020-04-20,N
2020-04-21,N
2020-04-22,N
2020-04-23,N
2020-04-24,N
2020-04-25,Y
2020-04-26,Y
2020-04-27,N
2020-04-28,N
2020-04-29,N
2020-04-30,N
2020-05-01,N
2020-05-02,Y
2020-05-03,Y
2020-05-04,N
2020-05-05,N
2020-05-06,N
2020-05-07,N
2020-05-08,Y
2020-05-09,Y
2020-05-10,Y
2020-05-11,N
2020-05-12,N
2020-05-13,N
2020-05-14,N
2020-05-15,N
2020-05-16,Y
2020-05-17,Y
2020-05-18,N
2020-05-19,N
2020-05-20,N
2020-05-21,N
2020-05-22,N
2020-05-23,Y
2020-05-24,Y
2020-05-25,Y
2020-05-26,N
2020-05-27,N
2020-05-28,N
2020-05-29,N
2020-05-30,Y
2020-05-31,Y
2020-06-01,N
2020-06-02,N
2020-06-03,N
2020-06-04,N
2020-06-05,N
2020-06-06,Y
2020-06-07,Y
2020-06-08,N
2020-06-09,N
2020-06-10,N
2020-06-11,N
2020-06-12,N
2020-06-13,Y
2020-06-14,Y
2020-06-15,N
2020-06-16,N
2020-06-17,N
2020-06-18,N
2020-06-19,N
2020-06-20,Y
2020-06-21,Y
2020-06-22,N
2020-06-23,N
2020-06-24,N
2020-06-25,N
2020-06-26,N
2020-06-27,Y
2020-06-28,Y
2020-06-29,N
2020-06-30,N
2020-07-01,N
2020-07-02,N
2020-07-03,N
2020-07-04,Y
2020-07-05,Y
2020-07-06,N
2020-07-07,N
2020-07-08,N
2020-07-09,N
2020-07-10,N
2020-07-11,Y
2020-07-12,Y
2020-07-13,N
2020-07-14,N
2020-07-15,N
2020-07-16,N
2020-07-17,N
2020-07-18,Y
2020-07-19,Y
2020-07-20,N
2020-07-21,N
2020-07-22,N
2020-07-23,N
2020-07-24,N
2020-07-25,Y
2020-07-26,Y
2020-07-27,N
2020-07-28,N
2020-07-29,N
2020-07-30,N
2020-07-31,N
2020-08-01,Y
2020-08-02,Y
2020-08-03,N
2020-08-04,N
2020-08-05,N
2020-08-06,N
2020-08-07,N
2020-08-08,Y
2020-08-09,Y
2020-08-10,N
2020-08-11,N
2020-08-12,N
2020-08-13,N
2020-08-14,N
2020-08-15,Y
2020-08-16,Y
2020-08-17,N
2020-08-18,N
2020-08-19,N
2020-08-20,N
2020-08-21,N
2020-08-22,Y
2020-08-23,Y
2020-08-24,N
2020-08-25,N
2020-08-26,N
2020-08-27,N
2020-08-28,N
2020-08-29,Y
2020-08-30,Y
2020-08-31,Y
2020-09-01,N
2020-09-02,N
2020-09-03,N
2020-09-04,N
2020-09-05,Y
2020-09-06,Y
2020-09-07,N
2020-09-08,N
2020-09-09,N
2020-09-10,N
2020-09-11,N
2020-09-12,Y
2020-09-13,Y
2020-09-14,N
2020-09-15,N
2020-09-16,N
2020-09-17,N
2020-09-18,N
2020-09-19,Y
2020-09-20,Y
2020-09-21,N
2020-09-22,N
2020-09-23,N
2020-09-24,N
2020-09-25,N
2020-09-26,Y
2020-09-27,Y
2020-09-28,N
2020-09-29,N
2020-09-30,N
2020-10-01,N
2020-10-02,N
2020-10-03,Y
2020-10-04,Y
2020-10-05,N
2020-10-06,N
2020-10-07,N
2020-10-08,N
2020-10-09,N
2020-10-10,Y
2020-10-11,Y
2020-10-12,N
2020-10-13,N
2020-10-14,N
2020-10-15,N
2020-10-16,N
2020-10-17,Y
2020-10-18,Y
2020-10-19,N
2020-10-20,N
2020-10-21,N
2020-10-22,N
2020-10-23,N
2020-10-24,Y
2020-10-25,Y
2020-10-26,N
2020-10-27,N
2020-10-28,N
2020-10-29,N
2020-10-30,N
2020-10-31,Y
2020-11-01,Y
2020-11-02,N
2020-11-03,N
2020-11-04,N
2020-11-05,N
2020-11-06,N
2020-11-07,Y
2020-11-08,Y
2020-11-09,N
2020-11-10,N
2020-11-11,N
2020-11-12,N
2020-11-13,N
2020-11-14,Y
2020-11-15,Y
2020-11-16,N
2020-11-17,N
2020-11-18,N
2020-11-19,N
2020-11-20,N
2020-11-21,Y
2020-11-22,Y
2020-11-23,N
2020-11-24,N
2020-11-25,N
2020-11-26,N
2020-11-27,N
2020-11-28,Y
2020-11-29,Y
2020-11-30,N
2020-12-01,N
2020-12-02,N
2020-12-03,N
2020-12-04,N
2020-12-05,Y
2020-12-06,Y
2020-12-07,N
2020-12-08,N
2020-12-09,N
2020-12-10,N
2020-12-11,N
2020-12-12,Y
2020-12-13,Y
2020-12-14,N
2020-12-15,N
2020-12-16,N
2020-12-17,N
2020-12-18,N
2020-12-19,Y
2020-12-20,Y
2020-12-21,N
2020-12-22,N
2020-12-23,N
2020-12-24,N
2020-12-25,Y
2020-12-26,Y
2020-12-27,Y
2020-12-28,Y
2020-12-29,N
2020-12-30,N
2020-12-31,N
2021-01-01,Y
2021-01-02,Y
2021-01-03,Y
